tlg_author_id,tlg_work_id,corpus,cts_urn,corpus_author,corpus_title,edition_description,language,word_count,text_url,metadata_url,license,source_revision,in_printed_inventory,match_method,match_confidence,verification_status
0006,005,Perseus,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2,Euripides,Ἱππόλυτος,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg005.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg005/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,006,Perseus,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2,Euripides,Ἀνδρομάχη,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg006.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg006/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,007,Perseus,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2,Euripides,Ἑκάβη,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902. (Reprinted 1906-1974)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg007.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg007/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,008,Perseus,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2,Euripides,Ἱκέτιδες,"Euripides. Euripidis Fabulae, Vol. II. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1921-1962)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg008.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg008/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,009,Perseus,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2,Euripides,Ἡρακλῆς,"Euripides. Euripidis Fabulae, Vol. II. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1921-1962)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg009.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg009/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,010,Perseus,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2,Euripides,Ἴων,"Euripides. Euripidis Fabulae, Vol. II. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1921-1962)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg010.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg010/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,011,Perseus,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2,Euripides,Τρῳάδες,"Euripides. Euripidis Fabulae, Vol. II. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1921-1962)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg011.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg011/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,012,Perseus,urn:cts:greekLit:tlg0006.tlg012.perseus-grc2,Euripides,Ἠλέκτρα,"Euripides. Euripidis Fabulae, Vol. II. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1921-1962)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg012.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg012/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,013,Perseus,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2,Euripides,Ἰφιγένεια ἐν Ταύροις,"Euripides. Euripidis Fabulae, Vol. II. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1921-1962)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg013.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg013/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,014,Perseus,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2,Euripides,Ἑλένη,"Euripides. Euripidis Fabulae, Vol. III. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1920-1978)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg014.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg014/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
