tlg_author_id,tlg_work_id,relationship,journal_status,source_urn,source_url,source_local_path,source_sha256,source_license,evidence_file
1750,003,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1750.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1750.tlg003.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1750/tlg003/tlg1750.tlg003.1st1K-grc1.xml,a1b7237a6872ed90d7167b4162555369d55a27e906822525b24801391c3711f2,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_862.csv
1750,004,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1750.tlg004.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1750.tlg004.1st1K-grc1:0,sources/upstream/first1kgreek/data/tlg1750/tlg004/tlg1750.tlg004.1st1K-grc1.xml,396a4fcda3c92c07b318f40a3be82c00c3ea42f01ee045f96d2ddd42e25bfaaf,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_863.csv
1763,001,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1763.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1763.tlg001.1st1K-grc1:p,sources/upstream/first1kgreek/data/tlg1763/tlg001/tlg1763.tlg001.1st1K-grc1.xml,bc2548d6320a7ab3b6d3cbb5552763fef48f1bb21f28e363b0feaa41020030f9,"https://creativecommons.org/licenses/by-sa/4.0/ Available under a
                        Creative Commons Attribution-ShareAlike 4.0 International License",data/research_batches/detailed_verified_3001_batch_869.csv
1764,001,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1764.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1764.tlg001.1st1K-grc1:1.1.1,sources/upstream/first1kgreek/data/tlg1764/tlg001/tlg1764.tlg001.1st1K-grc1.xml,dfe1afd6de99a814cdadadf60af96e72ffe088a1af7a9fc9a0e4c297fe531120,"https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International
                        License",data/research_batches/detailed_verified_3001_batch_869.csv
1765,003,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1765.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1765.tlg003.1st1K-grc1:prologue,sources/upstream/first1kgreek/data/tlg1765/tlg003/tlg1765.tlg003.1st1K-grc1.xml,bd58297d8f715da8e3610e46e8c6d490bfc7cc037c34be709f4cda5e4af69c34,"https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International
 License",data/research_batches/detailed_verified_3001_batch_871.csv
1765,004,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1765.tlg004.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1765.tlg004.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1765/tlg004/tlg1765.tlg004.1st1K-grc1.xml,102aa6a142331aa8489cd5f2153a9a97155e182679587ed3816dbeca43d15156,"https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International
 License",data/research_batches/detailed_verified_3001_batch_871.csv
1765,005,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1765.tlg005.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1765.tlg005.1st1K-grc1:5,sources/upstream/first1kgreek/data/tlg1765/tlg005/tlg1765.tlg005.1st1K-grc1.xml,9fea7e808e6475a3ad78e0d20913950176f1a5ae681ba0bbeda3a59d837de241,"https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International
      License",data/research_batches/detailed_verified_3001_batch_871.csv
1766,001,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1766.tlg001.perseus-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1766.tlg001.perseus-grc1:1,sources/upstream/first1kgreek/data/tlg1766/tlg001/tlg1766.tlg001.perseus-grc1.xml,bfe1671160c9155552055a24bd86345d2efb5392cd03e70a947d4a7a9ce00e4a,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_872.csv
